 ,en,fr,de
trailer_3,"Well, actually nature has become a bit of a problem. Nature has taken over. The doors are overgrown with plants that are blocking the passages between rooms. We can’t get rid of them ourselves. We tried, but it is a mystery to us. Can you help us?","Et bien, en fait, la nature est devenue un peu un problème. Elle a pris le dessus. Les portes sont envahies par des plantes qui bloquent les passages entre les pièces. Nous ne pouvons pas nous en débarrasser nous-mêmes. Nous avons essayé, mais c'est un mystère pour nous. Pouvez-vous nous aider ?","Nun, eigentlich ist die Natur ein bisschen zum Problem geworden. Sie hat die Oberhand gewonnen.  Die Türen sind mit Pflanzen überwuchert, die die Durchgänge zwischen den Räumen blockieren.  Wir können sie selbst nicht loswerden. Wir haben es bereits versucht, aber es ist ein Rätsel für uns. Könnt ihr uns helfen?"
trailer_4,"Of course, Madam, my associate Kiara and I will come over as soon as possible.","Bien sûr, Madame, ma collègue Kiara et moi viendrons dès que possible.","Natürlich, werden meine Kollegin Kiara und ich so schnell wie möglich vorbeikommen, Madame."
trailer_5,"Welcome to the Villa Majorelle or Villa Jika, like we used to call it, after my beautiful wife’s initials! We are the Majorelle family and the spirits of this villa. Thank you very much for coming. Let’s go right in!","Bienvenue à la Villa Majorelle ou Villa Jika, comme nous l'appelions, d'après les initiales de ma charmante belle femme ! Nous sommes la famille Majorelle, les esprits de cette villa. Merci beaucoup d'être venus. Entrons!","Willkommen in der Villa Majorelle oder Villa Jika, wie wir sie früher nannten, nach den Initialen meiner wunderschönen Frau! Wir sind die Familie Majorelle und hausen heutzutage als Geister in dieser Villa. Vielen Dank, dass ihr gekommen seid. Lasst uns gleich reingehen!"
trailer_6,"Hmm, these must be the plants Jane Majorelle was talking about...","Hmm, ce sont sûrement les plantes dont Jane Majorelle parlait…","Hmm, das müssen die Pflanzen sein, von denen Jane Majorelle gesprochen hat..."
entrance_louis_intruction2,"Look around and look closer at things. To do so, you must first click the eye and then whatever sparks your interest. Try it out!","Pour regarder autour de vous, Cliquez sur l’œil puis sur quelque chose d’autre qui vous intéresse.. Essayez!","Sieh dich um und schau dir Dinge näher an. Dazu musst du zuerst das Auge anklicken und dann das, was was auch immer dein Interesse weckt. Probiere es aus!"
entrance_artur_kiara,Got it. Hmm ... Let's ask Kiara for some advice first. She always has the best ideas.,J'ai compris. Hmm ... Demandons Kiara quelques conseils en premier. Elle a toujours les meilleures idées.,Habe es. Hmm ... Lassen Sie uns fragen Kiara für einige Ratschläge zuerst. Sie hat immer die besten Ideen.
entrance_kiara_tip,Those tulips on the wall look like they don't belong here. Let's look at them.,Ces tulipes sur le look de mur comme ils ne font pas partie ici. Regardons à eux.,"Diese Tulpen auf der Wand schauen, wie sie gehören nicht hierher. Schauen wir uns ihnen."
entrance_kiara_1,Nice entrance area! Although those tulips look weird.,Belle entrée ! Bien que ces tulipes aient l'air bizarres.,Schöner Eingangsbereich! Obwohl diese Tulpen etwas komisch aussehen.
entrance_kiara_2,"Let's ask Louis for instructions. And if you need any more tips from me later, just talk to me then.","Demandons des instructions à Louis. Et si tu as besoin d'autres conseils de ma part plus tard, n'hésite pas à m'en parler.","Lass uns Louis Majorelle nach Anweisungen fragen. Und wenn du später noch Tipps von mir brauchst, sprich mich einfach an."
entrance_kiara_01,"
Nice entrance area. However those tulips look like they don't belong here. That could be interesting. Hmm... Well, let's talk to Louis.
","Belle entrée ! Bien que ces tulipes aient l'air bizarre. Hmm... Bien, allons parler à Louis.","Schöner Eingangsbereich. Allerdings sehen die Tulpen so aus, als ob sie hier nicht hingehören. Das könnte noch interessant werden. Hmm... Nun, sprechen wir mit Louis."
entrance_kiara_talk,"To talk to Louis, we should choose that highlighted talk button first and then Louis.","Pour parler à Louis, nous devons d'abord sélectionner le bouton surligné - celui avec la bouche - et ensuite Louis.","Um mit Louis zu sprechen, sollten wir zuerst den hervorgehobenen Knopf mit dem Mund und dann Louis auswählen."
entrance_louis_1,"Good observation, Kiara. The wall in the entrance area should have only honesty flowers. Let’s have a closer look at those tulips to fix that. Maybe that will appease the plants.
","Bonne observation, Kiara. Le mur de l'entrée ne devrait avoir que des monnaies du pape. Regardons de plus près ces tulipes pour corriger cela. Peut-être que cela apaisera les plantes.","Gute Beobachtung, Kiara. Die Wand im Eingangsbereich sollte nur mit Silbertalern dekoriert sein. Schauen wir uns die Tulpen mal genauer an, um das zu korrigieren. Vielleicht wird das die Pflanzen etwas besänftigen."
entrance_louis_2,"To do so, you must first click the eye and then whatever you want to have a closer look at. Try it out!","Pour faire cela, tu dois d'abord cliquer sur l'œil et ensuite sur ce que tu veux regarder de plus près. Essaie-le !","Dazu musst du zuerst auf das Auge klicken und dann auf das, was du dir näher ansehen möchtest. Probier's aus!"
entrance_louis_riddle,"Okay, so you have to pick the correct answer with the hand. First click the hand and then what you want to pick. This can also be used to pick things up.","D'accord, vous devez donc choisir la bonne réponse avec la main. Cliquez d'abord sur la main et ensuite sur ce que vous voulez choisir. Cela peut aussi servir à ramasser des choses.","Okay, also, du musst die richtige Antwort mit der Hand auswählen. Klicke zuerst auf die Hand und dann auf das, was du auswählen möchtest. Dieser Knopf kann auch zum Aufheben von Dingen verwendet werden."
entrance_wrong_flower,I don't think this fits with the other flowers.,Je ne pense pas que cela corresponde aux autres fleurs.,"Ich glaube nicht, dass das zu den anderen Blumen passt."
entrance_right_flower,This looks good! Honesty flowers are what I picked for the theme of the entrance area.,Ça a l'air bien ! Les monnaies du pape sont celles que j'ai choisies pour le thème de la zone d'entrée.,"Das sieht gut aus! Silbertaler sind das, was ich mir als Raumthema für den Eingangsbereich ausgesucht habe."
entrance_offer_lamp,Before we continue: I found this lightbulb in the pocket of my coat. Take it! I noticed that the lamp is missing one. You can repair the lamp with it!,Avant de continuer : J'ai trouvé cette ampoule dans la poche de mon manteau. Prenez-la ! J'ai remarqué qu'il en manquait une dans la lampe. Vous pouvez réparer la lampe avec elle!,"Bevor wir fortfahren: Ich habe diese Glühbirne in meiner Manteltasche gefunden. Nimm sie! Mir ist aufgefallen, dass an der Lampe eine fehlt. Du kannst die Lampe damit reparieren!"
entrance_picked_lightbulb,Well done! The lightbulb is now in your inventory.,Bien joué ! L'ampoule est maintenant dans votre inventaire.,Gut gemacht! Sie ist jetzt in deinem Inventar.
entrance_use_lamp,"Okay, now let’s put the lightbulb into the lamp.","Ok maintenant, utilisons cette ampoule sur la lampe","Okay, jetzt benutzen wir diese Glühbirne für die Lampe."
entrance_louis_use_explain,"For this click the hand, then the item you want to use and then where you want to use it or move it to… the same goes for switching two items.","Pour cela, clique sur la main, puis sur l'objet que tu veux utiliser et enfin sur l'endroit où tu veux l'utiliser ou le déplacer... Même chose pour échanger deux objets.","Klicke dazu auf die Hand, dann auf den Gegenstand, den du benutzen willst, und dann dorthin, wo du ihn benutzen oder hinbewegen willst... dasselbe gilt für das Wechseln von zwei Gegenständen."
entrance_light_on,Splendid! Everything’s back in order here and I can see the plants disappearing! Seems like bringing things back in order and solving riddles is what you need to do. Good luck in the other rooms!,Splendide ! Tout est rentré dans l'ordre ici et je peux voir les plantes disparaître! Il semble que remettre les choses en ordre et résoudre les énigmes est ce qu'il faut faire. Bonne chance dans les autres pièces !,"Prächtig! Jetzt ist hier alles wieder in Ordnung und ich sehe die Pflanzen verschwinden! Es scheint, als ob Dinge wieder in Ordnung bringen und die Rätsel lösen der richtige Ansatz ist. Viel Glück mit den anderen Räumen!"
entrance_louis_goback,You should go back to the flower riddle and look closer at it again.,Tu devrais retourner à l'énigme de la fleur et la regarder de plus près encore.,Du solltest zum Blumenrätsel zurückgehen und es dir noch einmal genauer ansehen.
entrance_kiara_goback,We should go back to the flower riddle like Louis said. Click the eye and then the tulips again.,"Nous devrions retourner à l'énigme des fleurs, comme l'a dit Louis. Clique sur l'œil puis sur les tulipes à nouveau.","Wir sollten zurück zum Blumenrätsel gehen, wie Louis gesagt hat. Klicken Sie auf das Auge und dann wieder auf die Tulpen."
entrance_louis_repeat_use,"Let me repeat: First click the hand once, then click on the lightbulb in the inventory to select it and then on the spot where you want to put it. This is how you use and move things.","Il semble que tu aies besoin que je le redise. D'abord, clique une fois sur la main, puis sur l'ampoule dans l'inventaire pour la sélectionner et ensuite sur l'endroit où tu veux la mettre. C'est ainsi que tu utilises et déplaces les choses.","Ok, nochmal: Klicke zuerst einmal auf die Hand, dann auf die Glühbirne im Inventar, um sie auszuwählen, und dann auf die Stelle, an die du sie setzen willst. So benutzt und verschiebst du Dinge."
entrance_kiara_missing_lightbulb,Hmm … we are missing the lightbulb to fix the lamp. We should have taken it. Let’s ask Louis for it again.,Hmm ... il nous manque l'ampoule pour réparer la lampe. Nous aurions dû la prendre. Demandons encore une fois à Louis.,"Hmm ... uns fehlt die Glühbirne, um die Lampe zu reparieren. Wir hätten sie mitnehmen sollen. Fragen wir Louis noch einmal danach."
entrance_louis_lightbulb2,"Here is the lightbulb. Take it, so that you have it in your inventory and can use it for the lamp. Use the hand to do so.","Voici l'ampoule. Prends-la, afin de l'avoir dans ton inventaire pour l'utiliser pour la lampe. Pour celà, utilise la main.","Hier ist die Glühbirne. Nimm sie, damit du sie in deinem Inventar hast und für die Lampe verwenden kannst. Benutze dazu die Hand."
kiara_tutorial,"Okay, I think we are ready to free this villa from the plants now. I listened carefully to Louis and took notes.","Bon, je pense que maintenant nous sommes prêts à libérer cette villa des plantes. J'ai bien écouté Louis et j'ai pris des notes.","Okay, ich denke, wir sind jetzt bereit, diese Villa von den Pflanzen zu befreien. Ich habe Louis aufmerksam zugehört und mir Notizen gemacht."
kiara_tutorial2,"I will stay in the background, but you can ask me for advice and ideas, whenever you don’t know what to do next. Maybe my notes will be of use to you.","Je resterai en arrière-plan, mais vous pouvez me demander des conseils et des idées, chaque fois que vous ne savez pas quoi faire ensuite. Peut-être que mes notes vous seront utiles.","Ich werde im Hintergrund bleiben, aber du kannst mich jederzeit nach Rat oder Ideen fragen, wenn du nicht weißt, wie es weitergehen soll. Vielleicht helfen dir meine Notizen weiter."
hallway_jacques, Follow me!,Suivez-moi!,Folge mir!
hallway_artur,"Okay, let’s follow Jacques to the living room then!","Bon, suivons Jacques dans le salon!","Okay, dann lass uns Jacques ins Wohnzimmer folgen!"
hallway_kiara1,"We should follow Jacques. That door in the back looks like where we should go.
",Nous devrions suivre Jacques.  Cette porte à l'arrière semble être l'endroit où nous devrions aller.,"Wir sollten Jacques folgen. Die Tür da hinten sieht so aus, als ob wir da reingehen sollten."
hallway_kiara2,I noticed that we get some information when we hover over items. Maybe that helps to find where we can go to the living room?,J'ai remarqué que nous obtenons certaines informations lorsque notre cursor passe au-dessus des objets. Peut-être que cela nous aide à trouver où nous pouvons aller dans le salon ?,"Mir ist aufgefallen, dass wir einige Informationen erhalten, wenn wir mit dem Mauszeiger über Elemente fahren. Vielleicht hilft das, um herauszufinden, wo es zum Wohnzimmer gehen können?"
hallway_kiara3,Have you tried just clicking on the open door at the end of the hallway area yet?,As-tu déjà essayé de cliquer sur la porte ouverte au bout du couloir ?,"Hast du schon versucht, einfach auf die offene Tür am Ende des Flurbereichs zu klicken?"
livingroom_window_not_done,This doesn't look complete.,Cela n'a pas l'air complet.,Das sieht so nicht ganz vollständig aus.
livingroom_window_missing,Some pieces are missing... maybe I should look around.,Il manque quelques morceaux... peut-être que je devrais regarder autour de moi,Da fehlen ein paar Teile... vielleicht sollte ich mich im Raum umsehen.
livingroom_window_fixed,Nice work. You repaired the window! At last we see the beautiful light again!,"Bravo, vous avez réparé la fenêtre! Nous pouvons enfin profiter à nouveau de la lumière!",Gute Arbeit. Du hast das Fenster repariert! Endlich sehen wir wieder das schöne Licht!
livingroom_flower_reward,I have a flower for you to thank you. You will find it in your inventory. Maybe this will be useful later.,"Ici, une fleur de ma part pour te remercier. Tu la trouveras dans ton inventaire. Elle te sera peut-être utile plus tard.","Ich habe hier eine Blume für dich, um dir zu danken. Du wirst sie in Deinem Inventar finden. Vielleicht wird sie dir später nützlich sein."
livingroom_window_kiara1,"So, to move the pieces we need to pick the hand, click on the piece we want to move and then where we want to put it.","Donc, pour déplacer les morceaux de puzzle, nous devons choisir la main, cliquer sur le morceau que nous voulons déplacer et ensuite sur l'endroit où nous voulons le mettre.","Um die Teile zu verschieben, müssen wir also die Hand nehmen, auf das Teil klicken, das wir verschieben wollen, und dann dorthin, wo wir es hinlegen wollen."
livingroom_window_kiara2,Try the edges first!,Essaie d'abord les bords !,Probiere zuerst die Kanten zu puzzeln!
livingroom_window_kiara3,I noticed some text at the top. It helps to track what you chose or clicked and what is possible to do.,"Quand un texte apparait en haut, il affiche ce que vous avez choisi et ce qui est possible de faire.","Mir ist am oberen Rand etwas Text aufgefallen. Er könnte helfen zu verfolgen, was du ausgewählt, bzw. angeklickt hast und was damit möglich ist."
livingroom_window_kiara4,"Don't forget to click in this order to move pieces: the hand, the object that you want to move and finally the target spot.","N'oubliez pas de cliquer dans cet ordre pour déplacer des pièces : la main, l'objet que vous voulez déplacer et enfin l’endroit ou vous voulez le poser.","Vergiss nicht, in dieser Reihenfolge Dinge anzuklicken, um sie zu verschieben: Zuerst die Hand, dann das Objekt, das du verschieben willst, und schließlich den Zielpunkt."
livingroom_kiara_tip,That window looks broken. Let’s have a look at that.,Cette fenêtre a l'air cassée. Regardons-la!,Dieses Fenster sieht kaputt aus. Schauen wir es uns mal an!
livingroom_kiara_tip2,"Remember? To look at things, first click on that eye to choose that action and then click on the window to look closer at it.","Tu te rappelles? Pour regarder les choses, clique d'abord sur l'œil pour choisir l'action, puis clique sur la fenêtre pour la regarder de plus près.","Erinnerst du dich? Um Dinge anzugucken, klicke zuerst auf das Auge, um diese Aktion auszuwählen, und dann auf das Fenster, um es näher zu betrachten."
livingroom_kiara_tip3,"Remember? To look at things, first click on that eye to choose that action and then click on something to look closer at it.","Tu te rappelles? Pour regarder les choses, clique d'abord sur l'œil pour choisir l'action, puis clique sur quelque chose pour la regarder de plus près.","Erinnerst du dich? Um Dinge anzugucken, klicke zuerst auf das Auge, um diese Aktion auszuwählen, und dann auf etwas, um es näher zu betrachten."
livingroom_window_story,The original stained glass broke during the first world war and we rebuilt it differently inspired by my stay in morocco!,Le vitrail fut cassée pendant la Première Guerre mondiale et nous l'avons reconstruit différemment. Il est inspiré par mon séjour au Maroc !,"Das Buntglasfenster ist im ersten Weltkrieg zerbrochen und wir haben es, inspiriert von meinem Marokko-Aufenthalt, anders wieder aufgebaut!"
livingroom_jacques_welcome,"Isn’t this a lovely living room? Just that window looks a little broken. Again … If you want to know more about that story, ask me again. Or just have a closer look at the window.","N'est-ce pas un beau salon? Par contre, cette fenêtre semble cassée. Encore cassée... Si tu veux en entendre plus sur cette histoire, demande moi. Sinon regarde simplement la fenêtre de plus près.","Ist das nicht ein schönes Wohnzimmer? Nur das Fenster sieht etwas kaputt aus. Erneut kaputt ... Wenn du mehr über diese Geschichte wissen willst, frag mich noch mal. Oder sieh dir einfach das Fenster direkt genauer an."
livingroom_jacques_story,"The original window was destroyed in the first world war and my father decided to replace it with this Moroccan-inspired stained glass, because I moved there and ended up loving the place.","L'original a été détruit pendant la première guerre mondiale et mon père a décidé de le remplacer par ce vitrail d'inspiration marocaine, parce que j'ai déménagé ici et que j'ai fini par aimer l'endroit.","Das ursprüngliche Fenster wurde im Ersten Weltkrieg zerstört und mein Vater beschloss, es durch diese marokkanisch inspirierte Glasmalerei zu ersetzen, weil ich dorthin gezogen bin und den Ort lieben gelernt habe."
livingroom_jacques_story_unshortened,"All furniture in this room is pine cone themed. Well, except for the window. The original was destroyed in the first world war and my father decided to replace it with this Moroccan-inspired stained glass, because I moved there and ended up loving the place.","Tous les meubles de cette pièce sont sur le thème de la pomme de pin. Bien, tous sauf la fenêtre. L'original a été détruit pendant la première guerre mondiale et mon père a décidé de le remplacer par ce vitrail d'inspiration marocaine, parce que j'ai déménagé ici et que j'ai fini par aimer l'endroit.","Alle Möbel in diesem Zimmer sind im Tannenzapfendesign gehalten. Nun ja, alle außer dem Fenster. Das Original wurde im Ersten Weltkrieg zerstört und mein Vater beschloss, es durch diese marokkanisch inspirierte Glasmalerei zu ersetzen, weil ich dorthin gezogen bin und den Ort lieben gelernt habe."
livingroom_jacques_story2,You want another story? My mother Jane liked to play the piano in this room. Just like the piano music you can hear playing in this villa right now.,Tu veux encore une histoire ? Ma mère Jane aimait jouer du piano dans cette pièce. Tout comme la musique au piano que tu entends jouer dans cette villa en ce moment.,"Du willst noch eine Geschichte? Okay, meine Mutter Jane hat in diesem Zimmer gerne Klavier gespielt. Genau wie die Klaviermusik, die du gerade in dieser Villa hörst."
livingroom_jacques_continue,I think it is time to go and have a look at the dining room.,Je pense qu'il est temps d'aller jeter un coup d'œil dans la salle à manger.,"Ich denke, es ist an der Zeit, einen Blick ins Esszimmer zu werfen."
livingroom_jacques_reminder,Enough stories … I think it would be a good idea to finish repairing that window. Have you looked around to find the missing puzzle pieces yet?,Assez d'histoires ... Je pense que ce serait une bonne idée de finir de réparer cette fenêtre. As-tu déjà regardé autour de toi pour trouver les morceaux manquants?,"Genug der Geschichten ... Ich denke, es wäre eine gute Idee, das Fenster fertig zu reparieren. Hast du dich schon nach den fehlenden Puzzlestücken umgesehen?"
livingroom_jacques_kiara,Enough stories … Have you thought of talking to Kiara about what to do here?,Assez d'histoires... As-tu pensé à parler à Kiara de ce qu'il faut faire ici ?,"Genug erzählt ... Hast du daran gedacht, Kiara zu fragen, was hier zu tun ist?"
livingroom_kiara_continue,The light is so much nicer in here now. And did you notice that the plants that blocked the door to the dining room disappeared?,La lumière est beaucoup plus belle ici maintenant. Et as-tu remarqué que les plantes qui bloquaient la porte de la salle à manger ont disparu ?,"Das Licht ist jetzt so viel schöner hier drinnen. Und hast du bemerkt, dass die Pflanzen, die die Tür zum Esszimmer blockiert haben, verschwunden sind?"
livingroom_kiara_continue2,"Well, I say, let us have a look at the dining room next.","Eh bien, voyons maintenant la salle à manger.",Schauen wir uns als nächstes das Esszimmer an.
livingroom_kiara_zoom1,Let's pick that puzzle piece up. We can probably use that.,Ramassons cette pièce du puzzle. Nous pouvons probablement l'utiliser.,Heben wir das Puzzlestück auf. Das können wir wahrscheinlich gebrauchen.
livingroom_kiara_zoom2,"Ah, there is one of the missing puzzle pieces. Let's pick it up.","Ah, c'est l'une des pièces manquantes. Allons la ramasser.","Ah, da ist eines der fehlenden Puzzlestücke. Lass es uns aufheben."
livingroom_kiara_zoom3,Let’s go back to the puzzle and finish repairing the window now.,Retournons au puzzle et finissons la réparation de la fenêtre maintenant.,Lass uns nun zum Puzzle zurückkehren und das Fenster fertig reparieren.
diningroom_kiara_tip,That painting looks a bit odd.,Ce tableau a l'air un peu bizarre.,Das Bild sieht ein wenig seltsam aus.
diningroom_painting_kiara1,Have you chosen one of the actions to select the differences that you see?,As-tu choisi une des actions pour sélectionner les différences que tu vois ?,"Hast du eine der Aktionen gewählt, um die Unterschiede, die du siehst, auszuwählen?"
diningroom_painting_kiara2,That goose looks weird!,Cette oie a l'air un peu bizarre!,Die Gans sieht komisch aus!
diningroom_painting_kiara3,To mark a difference in the bottom painting: Activate the hand and then click on the difference you see. ,"Pour marquer une différence dans le tableau du bas : Clique sur la main, puis selectionne la différence que tu vois.","So markierst du einen Unterschied im unteren Bild: Aktiviere die Hand und klicke dann auf den Unterschied, den du siehst. "
diningroom_painting_kiara4,Hmm...Looks like something is in the bushes that doesn’t belong there.,Hmm... On dirait qu'il y a quelque chose dans les buissons qui ne fait pas partie de l'endroit.,"Hmm... Sieht aus, als wäre etwas im Gebüsch, das dort nicht hingehört."
diningroom_painting_kiara5,I think one of the birds is missing in the bottom painting.,Je pense qu'il manque un des oiseaux dans le tableau du bas.,"Ich glaube, dass einer der Vögel auf dem unteren Bild fehlt."
diningroom_painting_kiara6,Other birds seem to have appeared where there were none before …,D'autres oiseaux semblent être apparus là où il n'y en avait pas avant...,"Andere Vögel scheinen dort aufgetaucht zu sein, wo es vorher keine gab..."
diningroom_not_all_found,Keep looking!,Continue de regarder!,Suche weiter!
diningroom_all_found,"Nicely done. You found all the differences! I have another flower for you.
",Bien fait. Tu as trouvé toutes les differences! J'ai encore une fleur pour toi.,Sehr gut gemacht. Du hast alle Unterschiede gefunden! Ich habe noch eine Blume für dich.
diningroom_artur_paper,"Oh, a piece of paper fell out! Let’s have a look at it!","Oh, un morceau de papier est tombé! Regardons-le!","Oh, ein Stück Papier ist herausgefallen! Das sollten wir uns mal ansehen!"
diningroom_kiara_paper1,"I have noted that if we want to move something we need to use the hand, click on the item and then where we want to move it to. Have you tried?","J'ai remarqué que si nous voulons déplacer quelque chose, nous devons utiliser la main, cliquer sur l'objet et ensuite sur l'endroit où nous voulons le déplacer. As-tu essayé?","Ich habe festgestellt, dass wir, wenn wir etwas verschieben wollen, die Hand benutzen müssen, auf das Element klicken und dann dorthin, wohin wir es verschieben wollen. Hast du das schon ausprobiert?"
diningroom_kiara_paper2,That bottom left looks like where we started when we entered the villa.,Ce bas à gauche ressemble à l'endroit où nous avons démarré lorsque nous sommes entrés dans la villa.,"Unten links sieht es so aus, als hätten wären wir da reingekommen."
diningroom_kiara_paper3,You can always put a piece back and try again.,Tu peux toujours remettre un label a droite et réessayer.,Du kannst immer ein Stück zurücklegen und es erneut versuchen.
diningroom_not_solved_paper,Something is still not right.,Quelque chose ne va pas encore.,Irgendwas stimmt hier noch nicht.
diningroom_solved_paper,Thank you for restoring the map for the ground level of our Villa. I find it helpful for visitors. Here is another flower for you.,Merci d'avoir restauré le plan du rez-de-chaussée de notre villa. Je le trouve utile pour les visiteurs. Voici une autre fleur pour toi.,"Vielen Dank , dass du die Karte für das Erdgeschoss unserer Villa wiederhergestellt hast. Ich finde sie immer hilfreich für Besucher. Hier ist eine weitere Blume für dich."
diningroom_paper_kiara,Okay so where did we come from?,"Bon, d'où venons-nous encore?","Okay, woher kamen wir nochmal?"
diningroom_jane_1,Welcome to the dining room of the Villa Majorelle. Isn’t it nice? We put paintings with farmyard animals in the upper sections all around the room. We always liked those paintings.,Bienvenue dans la salle à manger de la Villa Majorelle. N'est-ce pas joli? Nous avons mis des tableaux avec des animaux de la ferme dans les parties du haut tout au long de la pièce. Nous avons toujours aimé ces peintures.,Willkommen im Esszimmer der Villa Majorelle. Ist es nicht schön? Wir haben Bilder mit Hoftieren in den oberen Bereichen rund um den Raum angebracht. Wir haben diese Gemälde immer gemocht.
diningroom_jane_2,"You want to know more? Well, all furniture is wheat-themed in this room. Quite fitting for a dining room don’t you think?","Tu veux en savoir plus? Eh bien, tous les meubles de cette pièce sont sur le thème du blé. Tout à fait approprié pour une salle à manger, non?","Du willst mehr wissen? Nun, alle Möbel in diesem Raum sind im Weizenthema gehalten. Ziemlich passend für ein Esszimmer, findest du nicht?"
diningroom_jane_3,"I could tell you more, but the plants won’t go away by themselves. Maybe you should talk to Kiara. However feel free to ask me for more stories later.","Je pourrais t'en dire plus, mais les plantes ne disparaîtront pas d'elles-mêmes. Tu devrais peut-être parler à Kiara. Mais n'hésite pas à me demander d'autres histoires plus tard.","Ich könnte dir mehr erzählen, aber die Pflanzen gehen nicht von selbst weg. Vielleicht solltest du mit Kiara reden. Du kannst mich aber gerne später nach weiteren Geschichten fragen."
diningroom_jane_4,You want to know something else? Maybe you noticed already. Those paintings on the wall are painted by my dear son Jacques. He was really talented as a painter.,Tu veux savoir autre chose ? Peut-être as-tu déjà remarqué les tableaux sur le mur. Ils sont peints par mon cher fils Jacques. Il était très doué comme peintre.,Du willst noch etwas wissen? Vielleicht hast du die Gemälde schon bemerkt. Die sind von meinem lieben Sohn Jacques. Er war ein wirklich begabter Maler.
diningroom_jane_paper,Let’s have a look at that paper.,Regardons ce papier.,Lass uns einen Blick auf das Papier werfen.
diningroom_jane_continue,I think it is time to go back to the hallway and staircase.,Je crois qu'il est temps de retourner vers le couloir et l'escalier.,"Ich denke, es ist an der Zeit, wieder zum Flur und dem Treppenhaus zu gehen."
diningroom_kiara_tip2,Maybe we should look around to find what needs to be fixed.,Peut-être devrions-nous regarder autour de nous pour trouver ce qui doit être fixé.,"Vielleicht sollten wir uns umsehen, um herauszufinden, was repariert werden muss."
diningroom_kiara_tip3,I noticed that the upper painting looks a bit odd.,J'ai remarqué que le tableau du haut semble un peu bizarre.,"Mir ist aufgefallen, dass das obere Bild etwas merkwürdig aussieht."
diningroom_kiara_tip4,"Let’s have a closer look at that decorative painting.
",Regardons de plus près cette peinture décorative.,Schauen wir uns das Gemälde einmal genauer an.
diningroom_kiara_tip5,Let’s go back to that painting.,Revenons à ce tableau.,Gehen wir zurück zu dem Bild.
diningroom_kiara_tip6,That paper really looks suspicious. Let’s look at it.,Ce papier a vraiment l'air suspect. Regardons-le.,Das Papier sieht wirklich interessant aus. Schauen wir es uns an.
diningroom_kiara_tip7,Did you notice that the plants disappeared? It seems like we are done in this room. Let’s go.,As-tu remarqué que les plantes ont disparu ? Il semble que nous ayons fini cette pièce. Allons-y.,"Ist dir aufgefallen, dass die Pflanzen verschwunden sind? Es sieht aus, als ob wir in diesem Raum fertig sind. Los geht's."
diningroom_kiara_tip8,Let’s go through that door to the staircase.,Passons par cette porte pour aller dans l'escalier.,Lass uns durch die Tür zum Treppenhaus gehen.
staircase_artur_dont_leave,I don't think it is time to leave yet. It doesn't look like I am done here.,Je pense qu'il est trop tôt pour partir. Je n'ai pas encore fini.,Ich glaube es ist noch zu früh um zu gehen. Ich bin hier noch nicht fertig.
